Tarih,Başlık,Metin,ParsedDate,Month,english_text,lemmatized_text,stemmed_text
"Mon, 02 Jul 2018 07:00:00 GMT",Borsa İstanbul'u işgal davasında karar açıklandı - Yeni Şafak,borsa i̇stanbul u işgal davasında karar açıklandı yeni şafak,2018-07-02 07:00:00,7,The decision was announced in the Borsa Istanbul occupation case yeni dawn,decision announce borsa istanbul occupation case yeni dawn,decis announc borsa istanbul occup case yeni dawn
"Tue, 09 Jan 2018 08:00:00 GMT",Hisseleri iki ayda 13 kat artan şirkete büyük operasyon - Bigpara,hisseleri iki ayda thirteen kat artan şirkete büyük operasyon bigpara,2018-01-09 08:00:00,1,big money operation for the company whose shares increased thirteen times in two months,big money operation company whose share increase thirteen time two month,big money oper compani whose share increas thirteen time two month
"Tue, 20 Feb 2018 08:00:00 GMT",Borsa İstanbul halka arz edilecek - Anadolu Ajansı,borsa i̇stanbul halka arz edilecek anadolu ajansı,2018-02-20 08:00:00,2,Borsa Istanbul will be offered to the public Anadolu Agency,borsa istanbul offer public anadolu agency,borsa istanbul offer public anadolu agenc
"Mon, 02 Apr 2018 07:00:00 GMT",Nisan-Mayıs döneminde en çok bu sektörler kazandırdı - Bigpara,nisan mayıs döneminde en çok bu sektörler kazandırdı bigpara,2018-04-02 07:00:00,4,These sectors earned the most big money in the April-May period,sector earn big money period,sector earn big money period
"Wed, 01 Aug 2018 07:00:00 GMT",Kipa borsa kotundan çıkarılıyor - Uzmanpara,kipa borsa kotundan çıkarılıyor uzmanpara,2018-08-01 07:00:00,8,Kipa is being delisted from the stock exchange Uzmanpara,kipa delist stock exchange uzmanpara,kipa delist stock exchang uzmanpara
"Thu, 07 Jun 2018 07:00:00 GMT",Borsa İstanbul`da gong Aselsan için çaldı - Uzmanpara,borsa i̇stanbul da gong aselsan için çaldı uzmanpara,2018-06-07 07:00:00,6,"The gong rang for Aselsan in Borsa Istanbul, Uzmanpara",gong rang aselsan borsa istanbul uzmanpara,gong rang aselsan borsa istanbul uzmanpara
"Thu, 26 Apr 2018 07:00:00 GMT",Son 5 yılda sürekli zarar açıklayan borsa şirketleri - Borsanın Gündemi,son five yılda sürekli zarar açıklayan borsa şirketleri borsanın gündemi,2018-04-26 07:00:00,4,Listed companies that have continuously declared losses in the last five years are on the agenda of the stock market.,list company continuously declare loss last five year agenda stock market,list compani continu declar loss last five year agenda stock market
"Thu, 01 Nov 2018 07:00:00 GMT","Hayvancılığa can katacak borsa, enerjisini de üretecek - Anadolu Ajansı",hayvancılığa can katacak borsa enerjisini de üretecek anadolu ajansı,2018-11-01 07:00:00,11,"Anadolu Agency, which will also produce stock market energy that will revitalize animal husbandry",anadolu agency also produce stock market energy revitalize animal husbandry,anadolu agenc also produc stock market energi revit anim husbandri
"Thu, 09 Aug 2018 07:00:00 GMT","Borsa, günün ilk yarısında yükseldi - Uzmanpara",borsa günün ilk yarısında yükseldi uzmanpara,2018-08-09 07:00:00,8,The stock market rose in the first half of the day Uzmanpara,stock market rise first half day uzmanpara,stock market rose first half day uzmanpara
"Tue, 24 Jul 2018 07:00:00 GMT",Borsa güne yükselişle başladı - Uzmanpara,borsa güne yükselişle başladı uzmanpara,2018-07-24 07:00:00,7,"The stock market started the day with an increase, Uzmanpara",stock market start day increase uzmanpara,stock market start day increas uzmanpara
"Wed, 09 May 2018 07:00:00 GMT",Borsa günün ilk yarısında yükseldi - Uzmanpara,borsa günün ilk yarısında yükseldi uzmanpara,2018-05-09 07:00:00,5,The stock market rose in the first half of the day Uzmanpara,stock market rise first half day uzmanpara,stock market rose first half day uzmanpara
"Fri, 10 Aug 2018 07:00:00 GMT",Turkey's Borsa Istanbul down at open - Anadolu Ajansı,turkey s borsa istanbul down at open anadolu ajansı,2018-08-10 07:00:00,8,turkey s stock market istanbul down at open anadolu agency,turkey stock market istanbul open anadolu agency,turkey stock market istanbul open anadolu agenc
"Wed, 26 Dec 2018 08:00:00 GMT",Turkey's Borsa Istanbul up at close - Anadolu Ajansı,turkey s borsa istanbul up at close anadolu ajansı,2018-12-26 08:00:00,12,turkey s stock market istanbul up at close anadolu agency,turkey stock market istanbul close anadolu agency,turkey stock market istanbul close anadolu agenc
"Wed, 26 Sep 2018 07:00:00 GMT",Borsa İstanbul`da işlem gören şirket konkordato ilan etti - Uzmanpara,borsa i̇stanbul da işlem gören şirket konkordato ilan etti uzmanpara,2018-09-26 07:00:00,9,"The company, which is traded on the stock exchange in Istanbul, declared concordat Uzmanpara",company trade stock exchange istanbul declare concordat uzmanpara,compani trade stock exchang istanbul declar concordat uzmanpara
"Tue, 09 Jan 2018 08:00:00 GMT",FETÖ`nün borsa ayağına soruşturma - Uzmanpara,fetö nün borsa ayağına soruşturma uzmanpara,2018-01-09 08:00:00,1,Inquiry into FETO's stock market branch Uzmanpara,inquiry feto stock market branch uzmanpara,inquiri feto stock market branch uzmanpara
"Thu, 06 Dec 2018 08:00:00 GMT",Borsa İstanbul günü yükselişle tamamladı - Bigpara,borsa i̇stanbul günü yükselişle tamamladı bigpara,2018-12-06 08:00:00,12,Stock Exchange Istanbul finished the day with an increase bigpara,stock exchange istanbul finish day increase bigpara,stock exchang istanbul finish day increas bigpara
"Tue, 16 Jan 2018 08:00:00 GMT",BIST 100 Endeksi kayıplarını geri alarak güçlü yükseldi | Borsa haberleri - Bloomberght,bist one hundred endeksi kayıplarını geri alarak güçlü yükseldi borsa haberleri bloomberght,2018-01-16 08:00:00,1,BIST One Hundred Index regained its losses and rose strongly stock market news bloomberght,bist one hundred index regain loss rise strongly stock market news bloomberght,bist one hundr index regain loss rose strongli stock market news bloomberght
"Wed, 05 Dec 2018 08:00:00 GMT",Yabancı yatırımcı borsada 2 yılın en güçlü alımını yaptı - Anadolu Ajansı,yabancı yatırımcı borsada two yılın en güçlü alımını yaptı anadolu ajansı,2018-12-05 08:00:00,12,Foreign investors made the strongest purchases in the stock market in two years Anadolu Agency,foreign investor make strong purchase stock market two year anadolu agency,foreign investor made strongest purchas stock market two year anadolu agenc
"Wed, 09 May 2018 07:00:00 GMT",Çemaş'a Borsa İstanbul'dan özsermaye uyarısı haberi - Borsanın Gündemi,çemaş a borsa i̇stanbul dan özsermaye uyarısı haberi borsanın gündemi,2018-05-09 07:00:00,5,"News of equity warning to Çemaş from Borsa Istanbul, stock exchange's agenda",news equity warn çemaş borsa istanbul stock exchange agenda,news equiti warn çemaş borsa istanbul stock exchang agenda
"Wed, 14 Feb 2018 08:00:00 GMT",MLP Sağlık Hizmetleri Borsa’da İşlem Görmeye Başladı - Bigpara,mlp sağlık hizmetleri borsa da i̇şlem görmeye başladı bigpara,2018-02-14 08:00:00,2,mlp healthcare services started to be traded on the stock exchange bigpara,mlp healthcare service start trade stock exchange bigpara,mlp healthcar servic start trade stock exchang bigpara
"Tue, 22 May 2018 07:00:00 GMT",Borsa İstanbul’da Gong Formet Çelik Kapı için çaldı - Bigpara,borsa i̇stanbul da gong formet çelik kapı için çaldı bigpara,2018-05-22 07:00:00,5,Stock Exchange Istanbul gong rang for Formet steel door bigpara,stock exchange istanbul gong rang formet steel door bigpara,stock exchang istanbul gong rang formet steel door bigpara
"Fri, 13 Jul 2018 07:00:00 GMT","Bu hafta borsa kaybettirdi, altın ve döviz kazandırdı - Uzmanpara",bu hafta borsa kaybettirdi altın ve döviz kazandırdı uzmanpara,2018-07-13 07:00:00,7,"This week the stock market lost, gold and foreign currency gained, Uzmanpara",week stock market lose gold foreign currency gain uzmanpara,week stock market lost gold foreign currenc gain uzmanpara
"Thu, 29 Nov 2018 08:00:00 GMT","Küresel Piyasalar: Dolar Powell sonrası dalgalı, faizler düştü, hisseler yönsüz | Borsa haberleri - Bloomberght",küresel piyasalar dolar powell sonrası dalgalı faizler düştü hisseler yönsüz borsa haberleri bloomberght,2018-11-29 08:00:00,11,global markets dollar fluctuating interest rates after powell fell shares directionless stock market news bloomberght,global market dollar fluctuate interest rate powell fell share directionless stock market news bloomberght,global market dollar fluctuat interest rate powel fell share directionless stock market news bloomberght
"Thu, 02 Aug 2018 07:00:00 GMT",Taahhütlü İşlemler Pazarı faaliyete geçti - Bigpara,taahhütlü i̇şlemler pazarı faaliyete geçti bigpara,2018-08-02 07:00:00,8,committed transactions market started operating bigpara,commit transaction market start operating bigpara,commit transact market start oper bigpara
"Sun, 01 Apr 2018 07:00:00 GMT",Piyasalarda ay tutulması - Bigpara,piyasalarda ay tutulması bigpara,2018-04-01 07:00:00,4,lunar eclipse in markets big money,lunar eclipse market big money,lunar eclips market big money
"Thu, 15 Mar 2018 07:00:00 GMT",Ulusoy Elektrik’ten 10 milyonluk yatırım - Bigpara,ulusoy elektrik ten ten milyonluk yatırım bigpara,2018-03-15 07:00:00,3,Ulusoy Elektrik ten million investment bigpara,ulusoy elektrik ten million investment bigpara,ulusoy elektrik ten million invest bigpara
"Mon, 01 Jan 2018 08:00:00 GMT",2017`nin en çok değer kazanan ve kaybeden hisseleri - Uzmanpara,two thousand and seventeen nin en çok değer kazanan ve kaybeden hisseleri uzmanpara,2018-01-01 08:00:00,1,The most valuable and losing shares of two thousand and seventeen are Uzmanpara,valuable lose share two thousand seventeen uzmanpara,valuabl lose share two thousand seventeen uzmanpara
"Fri, 18 May 2018 07:00:00 GMT","Şok Marketler, Borsa'da işlem görmeye başladı - Anadolu Ajansı",şok marketler borsa da işlem görmeye başladı anadolu ajansı,2018-05-18 07:00:00,5,Shock markets started to be traded on the stock exchange Anadolu Agency,shock market start trade stock exchange anadolu agency,shock market start trade stock exchang anadolu agenc
"Tue, 13 Nov 2018 08:00:00 GMT",AKP'den TOBB teklifi: Seçilemeyen yöneticilere göreve dönüş yolu açılıyor - BBC,akp den tobb teklifi seçilemeyen yöneticilere göreve dönüş yolu açılıyor bbc,2018-11-13 08:00:00,11,AKP's TOBB offer opens the way to return to duty for executives who cannot be elected BBC,akp tobb offer open way return duty executive elect bbc,akp tobb offer open way return duti execut elect bbc
"Fri, 07 Dec 2018 08:00:00 GMT",Mehmet Osmanoğlu borsa dolandırıcılarıyla iş birliği mi yapıyor haberi - Borsanın Gündemi,mehmet osmanoğlu borsa dolandırıcılarıyla iş birliği mi yapıyor haberi borsanın gündemi,2018-12-07 08:00:00,12,Is Mehmet Osmanoğlu collaborating with stock market fraudsters? News is on the agenda of the stock market,mehmet osmanoğlu collaborate stock market fraudsters news agenda stock market,mehmet osmanoğlu collabor stock market fraudster news agenda stock market
"Fri, 13 Jul 2018 07:00:00 GMT",SPK'dan piyasa bozucu eylemlerle ilgili düzenleme - Anadolu Ajansı,spk dan piyasa bozucu eylemlerle ilgili düzenleme anadolu ajansı,2018-07-13 07:00:00,7,Regulation on market disruptive actions from CMB Anadolu Agency,regulation market disruptive action cmb anadolu agency,regul market disrupt action cmb anadolu agenc
"Mon, 12 Mar 2018 07:00:00 GMT",Serbest piyasada döviz açılış fiyatları (12.03.2018) | Borsa haberleri - Bloomberght,serbest piyasada döviz açılış fiyatları twelve three two thousand and eighteen borsa haberleri bloomberght,2018-03-12 07:00:00,3,foreign exchange opening prices in the free market twelve three two thousand and eighteen stock market news bloomberght,foreign exchange opening price free market twelve three two thousand eighteen stock market news bloomberght,foreign exchang open price free market twelv three two thousand eighteen stock market news bloomberght
"Fri, 01 Jun 2018 07:00:00 GMT",Borsa İstanbul Başkanı: İçimizde çok hain var - memurlar.net,borsa i̇stanbul başkanı i̇çimizde çok hain var memurlar net,2018-06-01 07:00:00,6,"Borsa Istanbul President, there are many traitors among us, officers.",borsa istanbul president many traitor among u officer,borsa istanbul presid mani traitor among us offic
"Wed, 10 Jan 2018 08:00:00 GMT",BIST Başkanı: Halka arz için 10 şirket başvuru yaptı - Dünya Gazetesi,bist başkanı halka arz için ten şirket başvuru yaptı dünya gazetesi,2018-01-10 08:00:00,1,BIST President Ten companies applied for public offering Dünya Newspaper,bist president ten company apply public offering dünya newspaper,bist presid ten compani appli public offer dünya newspap
"Thu, 16 Aug 2018 07:00:00 GMT","Himmet Karadağ, Borsa İstanbul’daki görevinden ayrıldı - Platin Dergisi",himmet karadağ borsa i̇stanbul daki görevinden ayrıldı platin dergisi,2018-08-16 07:00:00,8,himmet karadağ left his job at stock exchange istanbul platin magazine,himmet karadağ left job stock exchange istanbul platin magazine,himmet karadağ left job stock exchang istanbul platin magazin
"Wed, 15 Aug 2018 07:00:00 GMT",Borsa Başkanı Karadağ görevini bıraktı Halkbank’a geçti - NTV Haber,borsa başkanı karadağ görevini bıraktı halkbank a geçti ntv haber,2018-08-15 07:00:00,8,Stock Exchange President Montenegro left his post and moved to Halkbank ntv news,stock exchange president montenegro left post move halkbank ntv news,stock exchang presid montenegro left post move halkbank ntv news
"Fri, 18 May 2018 07:00:00 GMT",Borsa İstanbul'da Gong Şok Marketler için çaldı - Sabah,borsa i̇stanbul da gong şok marketler için çaldı sabah,2018-05-18 07:00:00,5,The stock market rang in Istanbul for the gong shock markets in the morning,stock market rang istanbul gong shock market morning,stock market rang istanbul gong shock market morn
"Fri, 07 Sep 2018 07:00:00 GMT",Ham Elmas Dış Ticaretinin Düzenlenmesine Ve Denetlenmesine Dair Karara İlişkin Tebliğ (Tebliğ No: 2006/1)’De Değişiklik Yapılmasına Dair Tebliğ - MuhasebeTR,ham elmas dış ticaretinin düzenlenmesine ve denetlenmesine dair karara i̇lişkin tebliğ tebliğ no two thousand and six one de değişiklik yapılmasına dair tebliğ muhasebetr,2018-09-07 07:00:00,9,"Communiqué regarding the decision regarding the regulation and supervision of foreign trade in rough diamonds, notification regarding the amendment of communiqué no two thousand and six one, accountingtr",communiqué regard decision regard regulation supervision foreign trade rough diamond notification regard amendment communiqué two thousand six one accountingtr,communiqué regard decis regard regul supervis foreign trade rough diamond notif regard amend communiqué two thousand six one accountingtr
"Tue, 06 Mar 2018 08:00:00 GMT","Borsa Başkanı Yeşil, Mavi Liste ile Diyarbakır'da aday - Dünya Gazetesi",borsa başkanı yeşil mavi liste ile diyarbakır da aday dünya gazetesi,2018-03-06 08:00:00,3,stock exchange president with green blue list candidate in diyarbakır dunya newspaper,stock exchange president green blue list candidate diyarbakır dunya newspaper,stock exchang presid green blue list candid diyarbakır dunya newspap
"Sat, 29 Dec 2018 08:00:00 GMT",Yılın son haftasında borsa ve döviz yatırımcısını üzdü - Dünya Gazetesi,yılın son haftasında borsa ve döviz yatırımcısını üzdü dünya gazetesi,2018-12-29 08:00:00,12,"In the last week of the year, stock market and foreign exchange investors were upset. Dünya Newspaper",last week year stock market foreign exchange investor upset dünya newspaper,last week year stock market foreign exchang investor upset dünya newspap
"Thu, 26 Jul 2018 07:00:00 GMT",Galip Öztürk’ün elini sürdüğü hisseye tedbir geliyor haberi - Borsanın Gündemi,galip öztürk ün elini sürdüğü hisseye tedbir geliyor haberi borsanın gündemi,2018-07-26 07:00:00,7,The news that precautions are coming to the shares that Kazan Öztürk touched is on the agenda of the stock market,news precaution come share kazan öztürk touch agenda stock market,news precaut come share kazan öztürk touch agenda stock market
"Thu, 01 Feb 2018 08:00:00 GMT","Endeks, 21 yıl sonra yeniden 'sadeleşecek' - Dünya Gazetesi",endeks twenty one yıl sonra yeniden sadeleşecek dünya gazetesi,2018-02-01 08:00:00,2,"The index will be simplified again after twenty one years, Dünya Newspaper",index simplify twenty one year dünya newspaper,index simplifi twenti one year dünya newspap
"Wed, 19 Dec 2018 08:00:00 GMT",Borsa Brüksel ile yapılan anlaşmayı kutluyor ve Wall Street Fed'i bekliyor - firstonline.info,borsa brüksel ile yapılan anlaşmayı kutluyor ve wall street fed i bekliyor firstonline info,2018-12-19 08:00:00,12,The stock market celebrates the agreement with Brussels and Wall Street awaits the Fed firstonline info,stock market celebrates agreement brussels wall street awaits fed firstonline info,stock market celebr agreement brussel wall street await fed firstonlin info
"Tue, 15 May 2018 07:00:00 GMT","Gong, Re-pie Avrasya Fonu için çaldı - Bigpara",gong re pie avrasya fonu için çaldı bigpara,2018-05-15 07:00:00,5,gong re pie rang for the eurasia fund bigpara,gong pie rang eurasia fund bigpara,gong pie rang eurasia fund bigpara
"Wed, 02 May 2018 07:00:00 GMT",Borsa güne yükselişle başladı (2 Mayıs 2018) - CNN Türk,borsa güne yükselişle başladı two mayıs two thousand and eighteen cnn türk,2018-05-02 07:00:00,5,The stock market started the day with an increase two may two thousand and eighteen cnn turk,stock market start day increase two may two thousand eighteen cnn turk,stock market start day increas two may two thousand eighteen cnn turk
"Mon, 14 May 2018 07:00:00 GMT",Karadağ`dan Varlık Fonu hakkında önemli açıklama - Uzmanpara,karadağ dan varlık fonu hakkında önemli açıklama uzmanpara,2018-05-14 07:00:00,5,Important statement from Montenegro about the wealth fund Uzmanpara,important statement montenegro wealth fund uzmanpara,import statement montenegro wealth fund uzmanpara
"Wed, 14 Feb 2018 08:00:00 GMT","Hasan Peker, halka arz sonrasını Borsa Gündem’e anlattı haberi - Borsanın Gündemi",hasan peker halka arz sonrasını borsa gündem e anlattı haberi borsanın gündemi,2018-02-14 08:00:00,2,Hasan Peker talked about the aftermath of the public offering to the stock exchange agenda. The news is on the stock exchange agenda.,hasan peker talk aftermath public offering stock exchange agenda news stock exchange agenda,hasan peker talk aftermath public offer stock exchang agenda news stock exchang agenda
"Fri, 08 Jun 2018 07:00:00 GMT",Son 10 yılda en fazla bedelli sermaye artışı yapan borsa şirketleri - Borsanın Gündemi,son ten yılda en fazla bedelli sermaye artışı yapan borsa şirketleri borsanın gündemi,2018-06-08 07:00:00,6,Listed companies that have made the highest paid capital increase in the last ten years are on the agenda of the stock market.,list company make high paid capital increase last ten year agenda stock market,list compani made highest paid capit increas last ten year agenda stock market
"Thu, 03 May 2018 07:00:00 GMT",Bimeks'in tahtası kapandı - Bigpara,bimeks in tahtası kapandı bigpara,2018-05-03 07:00:00,5,bimeks board closed bigpara,bimeks board close bigpara,bimek board close bigpara
"Tue, 25 Sep 2018 07:00:00 GMT",Borsa ilk yarıda yükseldi - Kanal23,borsa ilk yarıda yükseldi kanaltwenty three,2018-09-25 07:00:00,9,stock market rose in the first half kanaltwenty three,stock market rise first half kanaltwenty three,stock market rose first half kanaltwenti three
"Mon, 26 Feb 2018 08:00:00 GMT",Bilançoları açıklamadı! Aksel Holding borsadan atıldı! - Hürriyet,bilançoları açıklamadı aksel holding borsadan atıldı hürriyet,2018-02-26 08:00:00,2,did not disclose the balance sheets aksel holding was expelled from the stock exchange hürriyet,disclose balance sheet aksel hold expel stock exchange hürriyet,disclos balanc sheet aksel hold expel stock exchang hürriyet
"Wed, 28 Feb 2018 08:00:00 GMT",Denizli Haberleri – Borsa İstanbul’un Denizlili Başkanı Karadağ’dan ‘tarlaları Borsa’ya alma’ sinyali - d20haber.com,denizli haberleri borsa i̇stanbul un denizlili başkanı karadağ dan tarlaları borsa ya alma sinyali dtwentyhaber com,2018-02-28 08:00:00,2,denizli news stock market istanbul's denizlili president signal from Montenegro to take the fields to the stock market dtwentyhaber com,denizli news stock market istanbul denizlili president signal montenegro take field stock market dtwentyhaber com,denizli news stock market istanbul denizlili presid signal montenegro take field stock market dtwentyhab com
