Tarih,Başlık,Metin,ParsedDate,Month,english_text
"Fri, 14 Sep 2018 07:00:00 GMT",Borsa İstanbul'dan kur riskinden korunmak için VİOP'a davet - Anadolu Ajansı,borsa i̇stanbul dan kur riskinden korunmak için vi̇op a davet anadolu ajansı,2018-09-14 07:00:00,9,Invitation from Borsa Istanbul to VIOP to protect against exchange rate risk Anadolu Agency
"Tue, 09 Jan 2018 08:00:00 GMT","Borsa, güne yatay başladı | Borsa haberleri - Bloomberght",borsa güne yatay başladı borsa haberleri bloomberght,2018-01-09 08:00:00,1,stock market started the day flat stock market news bloomberght
"Fri, 29 Jun 2018 07:00:00 GMT",Borsa güne yükselişle başladı - Anadolu Ajansı,borsa güne yükselişle başladı anadolu ajansı,2018-06-29 07:00:00,6,Stock market started the day with an increase Anadolu Agency
"Tue, 05 Jun 2018 07:00:00 GMT",Borsa yaklaşık 1 yılın en düşük seviyesinde kapandı | Borsa haberleri - Bloomberght,borsa yaklaşık one yılın en düşük seviyesinde kapandı borsa haberleri bloomberght,2018-06-05 07:00:00,6,The stock market closed at its lowest level in nearly a year stock market news bloomberght
"Wed, 18 Apr 2018 07:00:00 GMT",Borsa İstanbul'un işgali davasında savcı mütalaasını sundu - Anadolu Ajansı,borsa i̇stanbul un işgali davasında savcı mütalaasını sundu anadolu ajansı,2018-04-18 07:00:00,4,The prosecutor presented his opinion in the Borsa Istanbul occupation case. Anadolu Agency
"Thu, 26 Jul 2018 07:00:00 GMT",Borsa Eğitim ve Simülasyon Laboratuvarı'nın ikincisi Konya'da açıldı - Anadolu Ajansı,borsa eğitim ve simülasyon laboratuvarı nın ikincisi konya da açıldı anadolu ajansı,2018-07-26 07:00:00,7,The second Borsa Training and Simulation Laboratory was opened in Konya Anadolu Agency
"Wed, 24 Jan 2018 08:00:00 GMT",Borsa İstanbul'da Trabzon Liman İşletmeciliği gong töreni - Anadolu Ajansı,borsa i̇stanbul da trabzon liman i̇şletmeciliği gong töreni anadolu ajansı,2018-01-24 08:00:00,1,Trabzon Port Management Gong Ceremony at Borsa Istanbul Anadolu Agency
"Tue, 17 Apr 2018 07:00:00 GMT",Transtürk Holding borsa kotundan çıkarıldı | Borsa haberleri - Bloomberght,transtürk holding borsa kotundan çıkarıldı borsa haberleri bloomberght,2018-04-17 07:00:00,4,transturk holding was delisted from the stock market stock market news bloomberght
"Mon, 02 Jul 2018 07:00:00 GMT",Borsa İstanbul'un işgali davasında karar - Anadolu Ajansı,borsa i̇stanbul un işgali davasında karar anadolu ajansı,2018-07-02 07:00:00,7,decision in the occupation of stock exchange istanbul case anadolu agency
"Fri, 17 Aug 2018 07:00:00 GMT","Dolar: Türkiye'de 1994, 2001 ve 2007'deki ekonomik krizlerde neler yaşandı? - BBC",dolar türkiye de one thousand nine hundred and ninety four two thousand and one ve two thousand and seven deki ekonomik krizlerde neler yaşandı bbc,2018-08-17 07:00:00,8,dollar in Türkiye what happened during the economic crises in one thousand nine hundred and ninety four two thousand and one and two thousand and seven bbc
"Mon, 02 Jul 2018 07:00:00 GMT",Borsa İstanbul'u işgal davasında karar açıklandı - Yeni Şafak,borsa i̇stanbul u işgal davasında karar açıklandı yeni şafak,2018-07-02 07:00:00,7,The decision was announced in the Borsa Istanbul occupation case yeni dawn
"Tue, 09 Jan 2018 08:00:00 GMT",Hisseleri iki ayda 13 kat artan şirkete büyük operasyon - Bigpara,hisseleri iki ayda thirteen kat artan şirkete büyük operasyon bigpara,2018-01-09 08:00:00,1,big money operation for the company whose shares increased thirteen times in two months
"Tue, 20 Feb 2018 08:00:00 GMT",Borsa İstanbul halka arz edilecek - Anadolu Ajansı,borsa i̇stanbul halka arz edilecek anadolu ajansı,2018-02-20 08:00:00,2,Borsa Istanbul will be offered to the public Anadolu Agency
"Mon, 02 Apr 2018 07:00:00 GMT",Nisan-Mayıs döneminde en çok bu sektörler kazandırdı - Bigpara,nisan mayıs döneminde en çok bu sektörler kazandırdı bigpara,2018-04-02 07:00:00,4,These sectors earned the most big money in the April-May period
"Wed, 01 Aug 2018 07:00:00 GMT",Kipa borsa kotundan çıkarılıyor - Uzmanpara,kipa borsa kotundan çıkarılıyor uzmanpara,2018-08-01 07:00:00,8,Kipa is being delisted from the stock exchange Uzmanpara
"Thu, 07 Jun 2018 07:00:00 GMT",Borsa İstanbul`da gong Aselsan için çaldı - Uzmanpara,borsa i̇stanbul da gong aselsan için çaldı uzmanpara,2018-06-07 07:00:00,6,"The gong rang for Aselsan in Borsa Istanbul, Uzmanpara"
"Thu, 26 Apr 2018 07:00:00 GMT",Son 5 yılda sürekli zarar açıklayan borsa şirketleri - Borsanın Gündemi,son five yılda sürekli zarar açıklayan borsa şirketleri borsanın gündemi,2018-04-26 07:00:00,4,Listed companies that have continuously declared losses in the last five years are on the agenda of the stock market.
"Thu, 01 Nov 2018 07:00:00 GMT","Hayvancılığa can katacak borsa, enerjisini de üretecek - Anadolu Ajansı",hayvancılığa can katacak borsa enerjisini de üretecek anadolu ajansı,2018-11-01 07:00:00,11,"Anadolu Agency, which will also produce stock market energy that will revitalize animal husbandry"
"Thu, 09 Aug 2018 07:00:00 GMT","Borsa, günün ilk yarısında yükseldi - Uzmanpara",borsa günün ilk yarısında yükseldi uzmanpara,2018-08-09 07:00:00,8,The stock market rose in the first half of the day Uzmanpara
"Tue, 24 Jul 2018 07:00:00 GMT",Borsa güne yükselişle başladı - Uzmanpara,borsa güne yükselişle başladı uzmanpara,2018-07-24 07:00:00,7,"The stock market started the day with an increase, Uzmanpara"
"Wed, 09 May 2018 07:00:00 GMT",Borsa günün ilk yarısında yükseldi - Uzmanpara,borsa günün ilk yarısında yükseldi uzmanpara,2018-05-09 07:00:00,5,The stock market rose in the first half of the day Uzmanpara
"Fri, 10 Aug 2018 07:00:00 GMT",Turkey's Borsa Istanbul down at open - Anadolu Ajansı,turkey s borsa istanbul down at open anadolu ajansı,2018-08-10 07:00:00,8,turkey s stock market istanbul down at open anadolu agency
"Wed, 26 Dec 2018 08:00:00 GMT",Turkey's Borsa Istanbul up at close - Anadolu Ajansı,turkey s borsa istanbul up at close anadolu ajansı,2018-12-26 08:00:00,12,turkey s stock market istanbul up at close anadolu agency
"Wed, 26 Sep 2018 07:00:00 GMT",Borsa İstanbul`da işlem gören şirket konkordato ilan etti - Uzmanpara,borsa i̇stanbul da işlem gören şirket konkordato ilan etti uzmanpara,2018-09-26 07:00:00,9,"The company, which is traded on the stock exchange in Istanbul, declared concordat Uzmanpara"
"Tue, 09 Jan 2018 08:00:00 GMT",FETÖ`nün borsa ayağına soruşturma - Uzmanpara,fetö nün borsa ayağına soruşturma uzmanpara,2018-01-09 08:00:00,1,Inquiry into FETO's stock market branch Uzmanpara
"Thu, 06 Dec 2018 08:00:00 GMT",Borsa İstanbul günü yükselişle tamamladı - Bigpara,borsa i̇stanbul günü yükselişle tamamladı bigpara,2018-12-06 08:00:00,12,Stock Exchange Istanbul finished the day with an increase bigpara
"Tue, 16 Jan 2018 08:00:00 GMT",BIST 100 Endeksi kayıplarını geri alarak güçlü yükseldi | Borsa haberleri - Bloomberght,bist one hundred endeksi kayıplarını geri alarak güçlü yükseldi borsa haberleri bloomberght,2018-01-16 08:00:00,1,BIST One Hundred Index regained its losses and rose strongly stock market news bloomberght
"Wed, 05 Dec 2018 08:00:00 GMT",Yabancı yatırımcı borsada 2 yılın en güçlü alımını yaptı - Anadolu Ajansı,yabancı yatırımcı borsada two yılın en güçlü alımını yaptı anadolu ajansı,2018-12-05 08:00:00,12,Foreign investors made the strongest purchases in the stock market in two years Anadolu Agency
"Wed, 09 May 2018 07:00:00 GMT",Çemaş'a Borsa İstanbul'dan özsermaye uyarısı haberi - Borsanın Gündemi,çemaş a borsa i̇stanbul dan özsermaye uyarısı haberi borsanın gündemi,2018-05-09 07:00:00,5,"News of equity warning to Çemaş from Borsa Istanbul, stock exchange's agenda"
"Wed, 14 Feb 2018 08:00:00 GMT",MLP Sağlık Hizmetleri Borsa’da İşlem Görmeye Başladı - Bigpara,mlp sağlık hizmetleri borsa da i̇şlem görmeye başladı bigpara,2018-02-14 08:00:00,2,mlp healthcare services started to be traded on the stock exchange bigpara
"Tue, 22 May 2018 07:00:00 GMT",Borsa İstanbul’da Gong Formet Çelik Kapı için çaldı - Bigpara,borsa i̇stanbul da gong formet çelik kapı için çaldı bigpara,2018-05-22 07:00:00,5,Stock Exchange Istanbul gong rang for Formet steel door bigpara
"Fri, 13 Jul 2018 07:00:00 GMT","Bu hafta borsa kaybettirdi, altın ve döviz kazandırdı - Uzmanpara",bu hafta borsa kaybettirdi altın ve döviz kazandırdı uzmanpara,2018-07-13 07:00:00,7,"This week the stock market lost, gold and foreign currency gained, Uzmanpara"
"Thu, 29 Nov 2018 08:00:00 GMT","Küresel Piyasalar: Dolar Powell sonrası dalgalı, faizler düştü, hisseler yönsüz | Borsa haberleri - Bloomberght",küresel piyasalar dolar powell sonrası dalgalı faizler düştü hisseler yönsüz borsa haberleri bloomberght,2018-11-29 08:00:00,11,global markets dollar fluctuating interest rates after powell fell shares directionless stock market news bloomberght
"Thu, 02 Aug 2018 07:00:00 GMT",Taahhütlü İşlemler Pazarı faaliyete geçti - Bigpara,taahhütlü i̇şlemler pazarı faaliyete geçti bigpara,2018-08-02 07:00:00,8,committed transactions market started operating bigpara
"Sun, 01 Apr 2018 07:00:00 GMT",Piyasalarda ay tutulması - Bigpara,piyasalarda ay tutulması bigpara,2018-04-01 07:00:00,4,lunar eclipse in markets big money
"Thu, 15 Mar 2018 07:00:00 GMT",Ulusoy Elektrik’ten 10 milyonluk yatırım - Bigpara,ulusoy elektrik ten ten milyonluk yatırım bigpara,2018-03-15 07:00:00,3,Ulusoy Elektrik ten million investment bigpara
"Mon, 01 Jan 2018 08:00:00 GMT",2017`nin en çok değer kazanan ve kaybeden hisseleri - Uzmanpara,two thousand and seventeen nin en çok değer kazanan ve kaybeden hisseleri uzmanpara,2018-01-01 08:00:00,1,The most valuable and losing shares of two thousand and seventeen are Uzmanpara
"Fri, 18 May 2018 07:00:00 GMT","Şok Marketler, Borsa'da işlem görmeye başladı - Anadolu Ajansı",şok marketler borsa da işlem görmeye başladı anadolu ajansı,2018-05-18 07:00:00,5,Shock markets started to be traded on the stock exchange Anadolu Agency
"Tue, 13 Nov 2018 08:00:00 GMT",AKP'den TOBB teklifi: Seçilemeyen yöneticilere göreve dönüş yolu açılıyor - BBC,akp den tobb teklifi seçilemeyen yöneticilere göreve dönüş yolu açılıyor bbc,2018-11-13 08:00:00,11,AKP's TOBB offer opens the way to return to duty for executives who cannot be elected BBC
"Fri, 07 Dec 2018 08:00:00 GMT",Mehmet Osmanoğlu borsa dolandırıcılarıyla iş birliği mi yapıyor haberi - Borsanın Gündemi,mehmet osmanoğlu borsa dolandırıcılarıyla iş birliği mi yapıyor haberi borsanın gündemi,2018-12-07 08:00:00,12,Is Mehmet Osmanoğlu collaborating with stock market fraudsters? News is on the agenda of the stock market
"Fri, 13 Jul 2018 07:00:00 GMT",SPK'dan piyasa bozucu eylemlerle ilgili düzenleme - Anadolu Ajansı,spk dan piyasa bozucu eylemlerle ilgili düzenleme anadolu ajansı,2018-07-13 07:00:00,7,Regulation on market disruptive actions from CMB Anadolu Agency
"Mon, 12 Mar 2018 07:00:00 GMT",Serbest piyasada döviz açılış fiyatları (12.03.2018) | Borsa haberleri - Bloomberght,serbest piyasada döviz açılış fiyatları twelve three two thousand and eighteen borsa haberleri bloomberght,2018-03-12 07:00:00,3,foreign exchange opening prices in the free market twelve three two thousand and eighteen stock market news bloomberght
"Fri, 01 Jun 2018 07:00:00 GMT",Borsa İstanbul Başkanı: İçimizde çok hain var - memurlar.net,borsa i̇stanbul başkanı i̇çimizde çok hain var memurlar net,2018-06-01 07:00:00,6,"Borsa Istanbul President, there are many traitors among us, officers."
"Wed, 10 Jan 2018 08:00:00 GMT",BIST Başkanı: Halka arz için 10 şirket başvuru yaptı - Dünya Gazetesi,bist başkanı halka arz için ten şirket başvuru yaptı dünya gazetesi,2018-01-10 08:00:00,1,BIST President Ten companies applied for public offering Dünya Newspaper
"Thu, 16 Aug 2018 07:00:00 GMT","Himmet Karadağ, Borsa İstanbul’daki görevinden ayrıldı - Platin Dergisi",himmet karadağ borsa i̇stanbul daki görevinden ayrıldı platin dergisi,2018-08-16 07:00:00,8,himmet karadağ left his job at stock exchange istanbul platin magazine
"Wed, 15 Aug 2018 07:00:00 GMT",Borsa Başkanı Karadağ görevini bıraktı Halkbank’a geçti - NTV Haber,borsa başkanı karadağ görevini bıraktı halkbank a geçti ntv haber,2018-08-15 07:00:00,8,Stock Exchange President Montenegro left his post and moved to Halkbank ntv news
"Fri, 18 May 2018 07:00:00 GMT",Borsa İstanbul'da Gong Şok Marketler için çaldı - Sabah,borsa i̇stanbul da gong şok marketler için çaldı sabah,2018-05-18 07:00:00,5,The stock market rang in Istanbul for the gong shock markets in the morning
"Fri, 07 Sep 2018 07:00:00 GMT",Ham Elmas Dış Ticaretinin Düzenlenmesine Ve Denetlenmesine Dair Karara İlişkin Tebliğ (Tebliğ No: 2006/1)’De Değişiklik Yapılmasına Dair Tebliğ - MuhasebeTR,ham elmas dış ticaretinin düzenlenmesine ve denetlenmesine dair karara i̇lişkin tebliğ tebliğ no two thousand and six one de değişiklik yapılmasına dair tebliğ muhasebetr,2018-09-07 07:00:00,9,"Communiqué regarding the decision regarding the regulation and supervision of foreign trade in rough diamonds, notification regarding the amendment of communiqué no two thousand and six one, accountingtr"
"Tue, 06 Mar 2018 08:00:00 GMT","Borsa Başkanı Yeşil, Mavi Liste ile Diyarbakır'da aday - Dünya Gazetesi",borsa başkanı yeşil mavi liste ile diyarbakır da aday dünya gazetesi,2018-03-06 08:00:00,3,stock exchange president with green blue list candidate in diyarbakır dunya newspaper
"Sat, 29 Dec 2018 08:00:00 GMT",Yılın son haftasında borsa ve döviz yatırımcısını üzdü - Dünya Gazetesi,yılın son haftasında borsa ve döviz yatırımcısını üzdü dünya gazetesi,2018-12-29 08:00:00,12,"In the last week of the year, stock market and foreign exchange investors were upset. Dünya Newspaper"
"Thu, 26 Jul 2018 07:00:00 GMT",Galip Öztürk’ün elini sürdüğü hisseye tedbir geliyor haberi - Borsanın Gündemi,galip öztürk ün elini sürdüğü hisseye tedbir geliyor haberi borsanın gündemi,2018-07-26 07:00:00,7,The news that precautions are coming to the shares that Kazan Öztürk touched is on the agenda of the stock market
"Thu, 01 Feb 2018 08:00:00 GMT","Endeks, 21 yıl sonra yeniden 'sadeleşecek' - Dünya Gazetesi",endeks twenty one yıl sonra yeniden sadeleşecek dünya gazetesi,2018-02-01 08:00:00,2,"The index will be simplified again after twenty one years, Dünya Newspaper"
"Wed, 19 Dec 2018 08:00:00 GMT",Borsa Brüksel ile yapılan anlaşmayı kutluyor ve Wall Street Fed'i bekliyor - firstonline.info,borsa brüksel ile yapılan anlaşmayı kutluyor ve wall street fed i bekliyor firstonline info,2018-12-19 08:00:00,12,The stock market celebrates the agreement with Brussels and Wall Street awaits the Fed firstonline info
"Tue, 15 May 2018 07:00:00 GMT","Gong, Re-pie Avrasya Fonu için çaldı - Bigpara",gong re pie avrasya fonu için çaldı bigpara,2018-05-15 07:00:00,5,gong re pie rang for the eurasia fund bigpara
"Wed, 02 May 2018 07:00:00 GMT",Borsa güne yükselişle başladı (2 Mayıs 2018) - CNN Türk,borsa güne yükselişle başladı two mayıs two thousand and eighteen cnn türk,2018-05-02 07:00:00,5,The stock market started the day with an increase two may two thousand and eighteen cnn turk
"Mon, 14 May 2018 07:00:00 GMT",Karadağ`dan Varlık Fonu hakkında önemli açıklama - Uzmanpara,karadağ dan varlık fonu hakkında önemli açıklama uzmanpara,2018-05-14 07:00:00,5,Important statement from Montenegro about the wealth fund Uzmanpara
"Wed, 14 Feb 2018 08:00:00 GMT","Hasan Peker, halka arz sonrasını Borsa Gündem’e anlattı haberi - Borsanın Gündemi",hasan peker halka arz sonrasını borsa gündem e anlattı haberi borsanın gündemi,2018-02-14 08:00:00,2,Hasan Peker talked about the aftermath of the public offering to the stock exchange agenda. The news is on the stock exchange agenda.
"Fri, 08 Jun 2018 07:00:00 GMT",Son 10 yılda en fazla bedelli sermaye artışı yapan borsa şirketleri - Borsanın Gündemi,son ten yılda en fazla bedelli sermaye artışı yapan borsa şirketleri borsanın gündemi,2018-06-08 07:00:00,6,Listed companies that have made the highest paid capital increase in the last ten years are on the agenda of the stock market.
"Thu, 03 May 2018 07:00:00 GMT",Bimeks'in tahtası kapandı - Bigpara,bimeks in tahtası kapandı bigpara,2018-05-03 07:00:00,5,bimeks board closed bigpara
"Tue, 25 Sep 2018 07:00:00 GMT",Borsa ilk yarıda yükseldi - Kanal23,borsa ilk yarıda yükseldi kanaltwenty three,2018-09-25 07:00:00,9,stock market rose in the first half kanaltwenty three
"Mon, 26 Feb 2018 08:00:00 GMT",Bilançoları açıklamadı! Aksel Holding borsadan atıldı! - Hürriyet,bilançoları açıklamadı aksel holding borsadan atıldı hürriyet,2018-02-26 08:00:00,2,did not disclose the balance sheets aksel holding was expelled from the stock exchange hürriyet
"Wed, 28 Feb 2018 08:00:00 GMT",Denizli Haberleri – Borsa İstanbul’un Denizlili Başkanı Karadağ’dan ‘tarlaları Borsa’ya alma’ sinyali - d20haber.com,denizli haberleri borsa i̇stanbul un denizlili başkanı karadağ dan tarlaları borsa ya alma sinyali dtwentyhaber com,2018-02-28 08:00:00,2,denizli news stock market istanbul's denizlili president signal from Montenegro to take the fields to the stock market dtwentyhaber com
"Thu, 19 Jul 2018 07:00:00 GMT",BORSA ÇALIŞIYOR ORTAKÖY KAZANIYOR - sultanhani.gen.tr,borsa çalişiyor ortaköy kazaniyor sultanhani gen tr,2018-07-19 07:00:00,7,"Stock market is working, Ortaköy is making money, sultanhani gen tr"
"Mon, 13 Aug 2018 07:00:00 GMT",Borsa 88.000'den döndü - Dünya Gazetesi,borsa eighty eight zero den döndü dünya gazetesi,2018-08-13 07:00:00,8,"The stock market returned from eighty eight zero, Dünya Newspaper"
"Mon, 21 May 2018 07:00:00 GMT",Bekir Sani Karayal Alarko GYO’da sıkıştı iddiası haberi - Borsanın Gündemi,bekir sani karayal alarko gyo da sıkıştı iddiası haberi borsanın gündemi,2018-05-21 07:00:00,5,Bekir Sani Karayal Alarko GYO is stuck in the allegation news is on the agenda of the stock market
"Thu, 01 Mar 2018 08:00:00 GMT","SPK, sosyal medya dolandırıcısı Hakan Kürklü'yü yakaladı haberi - Borsanın Gündemi",spk sosyal medya dolandırıcısı hakan kürklü yü yakaladı haberi borsanın gündemi,2018-03-01 08:00:00,3,The news that SPK caught social media fraudster Hakan Furry is on the agenda of the stock market
"Thu, 31 May 2018 07:00:00 GMT",Son 5 yılda hiç kaybettirmeyen 18 hisse - Borsanın Gündemi,son five yılda hiç kaybettirmeyen eighteen hisse borsanın gündemi,2018-05-31 07:00:00,5,Eighteen stocks that have not made any losses in the last five years are on the agenda of the stock market
"Thu, 27 Sep 2018 07:00:00 GMT",Borsa İstanbul'un yeni Başkanı belli oldu - memurlar.net,borsa i̇stanbul un yeni başkanı belli oldu memurlar net,2018-09-27 07:00:00,9,"The new president of Borsa Istanbul has been announced, the civil servants are clear"
"Thu, 22 Mar 2018 07:00:00 GMT",Son 10 yılın en yüksek getirili hisseleri - fortuneturkey.com,son ten yılın en yüksek getirili hisseleri fortuneturkey com,2018-03-22 07:00:00,3,The highest yielding stocks of the last year fortuneturkey com
"Fri, 02 Nov 2018 07:00:00 GMT","Borsa, günün ilk yarısında yükseldi - Milliyet",borsa günün ilk yarısında yükseldi milliyet,2018-11-02 07:00:00,11,The stock market rose in the first half of the day nationality
"Sun, 01 Apr 2018 07:00:00 GMT","İsmet Çelik, Borsa seçimlerine katılmayacak - Gazetekars",i̇smet çelik borsa seçimlerine katılmayacak gazetekars,2018-04-01 07:00:00,4,İ̇smet Çelik will not participate in the stock market elections Gazetekars
"Fri, 31 Aug 2018 07:00:00 GMT","ERBAY VE BOYLU, BORSA’DAYDI - Batman Sonsöz",erbay ve boylu borsa daydi batman sonsöz,2018-08-31 07:00:00,8,erbay and boylu were in stock market batman epilogue
"Wed, 01 Aug 2018 07:00:00 GMT",Borsa'da gündem Çin çiğdemi: Böyle giderse... - Ege'de Sonsöz,borsa da gündem çin çiğdemi böyle giderse ege de sonsöz,2018-08-01 07:00:00,8,"The stock market is on the agenda. If the Chinese crocus continues like this, the Aegean will also have an epilogue."
"Wed, 15 Aug 2018 07:00:00 GMT","Halkbank Yönetim Kurulu Başkan Vekili Himmet Karadağ, Borsa İstanbul’daki görevinden ayrıldı - Sabah",halkbank yönetim kurulu başkan vekili himmet karadağ borsa i̇stanbul daki görevinden ayrıldı sabah,2018-08-15 07:00:00,8,Halkbank Deputy Chairman of the Board of Directors Himmet Karadağ left his position at Borsa Istanbul in the morning
"Sat, 03 Mar 2018 08:00:00 GMT",İzmir Fırça operasyonunda satış zamanı haberi - Borsanın Gündemi,i̇zmir fırça operasyonunda satış zamanı haberi borsanın gündemi,2018-03-03 08:00:00,3,"Sale time news in Izmir brush operation, stock market agenda"
"Tue, 16 Oct 2018 07:00:00 GMT",Kalkınma Bankası hisselerinde kim vurgun yaptı haberi - Borsanın Gündemi,kalkınma bankası hisselerinde kim vurgun yaptı haberi borsanın gündemi,2018-10-16 07:00:00,10,The news of who made a profit on the development bank shares is the agenda of the stock market
"Thu, 05 Jul 2018 07:00:00 GMT",Yücel Kardeşler'e SPK'dan ağır para cezası haberi - Borsanın Gündemi,yücel kardeşler e spk dan ağır para cezası haberi borsanın gündemi,2018-07-05 07:00:00,7,"news of heavy fine from yucel brothers espk, stock market's agenda"
"Fri, 28 Dec 2018 08:00:00 GMT",Borsa İlk Yarıda Yükseldi - enpolitik.com,borsa i̇lk yarıda yükseldi enpolitik com,2018-12-28 08:00:00,12,stock market rose in the first half enpolitik com
"Tue, 20 Mar 2018 07:00:00 GMT",KAAN ÇELİK BORSA BAŞKANLIĞINA ADAY - Devrim Gazetesi,kaan çeli̇k borsa başkanliğina aday devrim gazetesi,2018-03-20 07:00:00,3,Kaan Çelik is a candidate for the presidency of the Stock Exchange Devrim Newspaper
"Thu, 29 Mar 2018 07:00:00 GMT","KATSO ve Borsa, Beştepe'de - Kastamonu Gündem Gazetesi",katso ve borsa beştepe de kastamonu gündem gazetesi,2018-03-29 07:00:00,3,Katso and Borsa Beştepe de Kastamonu Gündem newspaper
"Thu, 27 Sep 2018 07:00:00 GMT",Borsa İstanbul’un yeni başkanı belli oldu - Gıda Hattı,borsa i̇stanbul un yeni başkanı belli oldu gıda hattı,2018-09-27 07:00:00,9,Borsa Istanbul's new president has been announced food line
"Tue, 06 Mar 2018 08:00:00 GMT","Dolar/TL yatay, Borsa artıda, gözler PPK’da - Demirören Haber Ajansı",dolar tl yatay borsa artıda gözler ppk da demirören haber ajansı,2018-03-06 08:00:00,3,dollar TL horizontal stock market plus eyes on ppk Demirören news agency
"Tue, 17 Jul 2018 07:00:00 GMT",Borsa'dan Karaburun Üzümü'ne can suyu! - Ege'de Sonsöz,borsa dan karaburun üzümü ne can suyu ege de sonsöz,2018-07-17 07:00:00,7,Karaburun grape from the stock market is the lifeblood of the Aegean epilogue
"Mon, 01 Jan 2018 08:00:00 GMT",2017'nin en çok değer kazanan ve kaybeden hisseleri - Dünya Gazetesi,two thousand and seventeen nin en çok değer kazanan ve kaybeden hisseleri dünya gazetesi,2018-01-01 08:00:00,1,Two Thousand and Seventeen's Most Gaining and Losing Stocks Dünya Newspaper
"Thu, 27 Sep 2018 07:00:00 GMT",Borsa İstanbul'un yeni başkanı Erişah Arıcan kimdir? - Sabah,borsa i̇stanbul un yeni başkanı erişah arıcan kimdir sabah,2018-09-27 07:00:00,9,"Who is the new president of Borsa Istanbul, Girişah Arıcan, Sabah?"
"Fri, 08 Jun 2018 07:00:00 GMT",Borsa´dan İftar Yemeği - Kozan Haberleri,borsa dan i̇ftar yemeği kozan haberleri,2018-06-08 07:00:00,6,iftar dinner kozan news from stock market
